PARTNER_APP_ID,DAY,OS_NAME,N_USERS_STARTED_SELFIE_CHECK_FLOW,N_USERS_SHARED_A_PROOF,CUMULATIVE_N_USERS_SHARED_A_PROOF,P_FACE_CAPTURE_COMPLETION
app_b8f69265fd23302eef25595ef2dfa059,2026-09-01,iOS,1,1,15,1.000000
app_b8f69265fd23302eef25595ef2dfa059,2026-09-02,Android,29,11,169,0.750000
app_b8f69265fd23302eef25595ef2dfa059,2026-09-02,iOS,5,1,16,0.500000
app_b8f69265fd23302eef25595ef2dfa059,2026-09-03,Android,13,6,175,0.692308
app_b8f69265fd23302eef25595ef2dfa059,2026-09-03,iOS,1,1,17,1.000000
app_d0ab5592517021bc13cdbc2453f06e7c,2026-08-03,Android,1,0,0,1.000000
app_d0ab5592517021bc13cdbc2453f06e7c,2026-08-03,iOS,1,1,1,1.000000
app_d0ab5592517021bc13cdbc2453f06e7c,2026-08-04,iOS,1,1,1,1.000000
app_d0ab5592517021bc13cdbc2453f06e7c,2026-08-05,iOS,1,1,1,1.000000
app_d0ab5592517021bc13cdbc2453f06e7c,2026-08-06,Android,1,0,0,0.000000
app_9dce97e566f272a1df980f143056a8e2,2026-08-28,Android,0,4,81,\\N
app_9dce97e566f272a1df980f143056a8e2,2026-08-29,Android,0,5,86,\\N
app_9dce97e566f272a1df980f143056a8e2,2026-08-30,Android,0,2,88,\\N
app_9dce97e566f272a1df980f143056a8e2,2026-08-31,Android,0,6,94,\\N
app_9dce97e566f272a1df980f143056a8e2,2026-09-01,Android,0,3,97,\\N
app_9dce97e566f272a1df980f143056a8e2,2026-09-02,Android,0,2,99,\\N
app_9dce97e566f272a1df980f143056a8e2,2026-09-03,Android,0,1,100,\\N
app_a270c46e8ca572028d85146a9ebd2a14,2026-08-01,Android,1,1,1,1.000000
app_a270c46e8ca572028d85146a9ebd2a14,2026-08-04,Android,1,1,1,1.000000
app_a270c46e8ca572028d85146a9ebd2a14,2026-08-04,iOS,2,2,2,1.000000
app_a270c46e8ca572028d85146a9ebd2a14,2026-08-10,Android,1,1,1,0.846154
app_a270c46e8ca572028d85146a9ebd2a14,2026-08-11,Android,1,1,1,1.000000
app_a270c46e8ca572028d85146a9ebd2a14,2026-08-11,iOS,1,1,2,1.000000
app_a270c46e8ca572028d85146a9ebd2a14,2026-08-13,iOS,2,0,2,1.000000
app_a270c46e8ca572028d85146a9ebd2a14,2026-08-21,iOS,1,1,3,1.000000
app_b871efd435c0498e8d5aaf2517a54185,2026-08-03,iOS,1,1,1,1.000000
app_b8f69265fd23302eef25595ef2dfa059,2026-08-08,iOS,1,0,7,\\N
app_b8f69265fd23302eef25595ef2dfa059,2026-08-09,Android,8,5,53,0.857143
app_b8f69265fd23302eef25595ef2dfa059,2026-08-09,iOS,1,1,8,1.000000
app_b8f69265fd23302eef25595ef2dfa059,2026-08-10,Android,14,7,60,0.636364
app_b8f69265fd23302eef25595ef2dfa059,2026-08-11,Android,16,8,68,0.777778
app_b8f69265fd23302eef25595ef2dfa059,2026-08-11,iOS,1,1,9,1.000000
app_b8f69265fd23302eef25595ef2dfa059,2026-08-12,Android,22,6,74,0.772727
app_b8f69265fd23302eef25595ef2dfa059,2026-08-12,iOS,2,1,10,1.000000
app_b8f69265fd23302eef25595ef2dfa059,2026-08-13,Android,5,3,77,0.714286
app_b8f69265fd23302eef25595ef2dfa059,2026-08-14,Android,11,5,82,0.636364
app_b8f69265fd23302eef25595ef2dfa059,2026-08-15,Android,23,7,89,0.647059
app_b8f69265fd23302eef25595ef2dfa059,2026-08-16,Android,10,3,92,0.500000
app_b8f69265fd23302eef25595ef2dfa059,2026-08-16,iOS,1,0,10,1.000000
app_b8f69265fd23302eef25595ef2dfa059,2026-08-17,Android,14,5,97,0.846154
app_b8f69265fd23302eef25595ef2dfa059,2026-08-18,Android,16,5,102,0.750000
app_b8f69265fd23302eef25595ef2dfa059,2026-08-18,iOS,1,0,10,0.000000
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-08-12,Android,6,5,86,0.833333
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-08-12,iOS,4,3,28,0.750000
